,age,gender,grade,height,weight,helmet,active,lifting
64,14.0,male,9.0,1.73,80.29,never,1.0,1.0
65,14.0,male,9.0,1.83,113.4,never,2.0,2.0
66,14.0,male,9.0,1.68,63.05,never,1.0,1.0
67,14.0,male,9.0,1.73,65.77,not riding,1.0,1.0
68,14.0,male,9.0,1.78,77.11,never,2.0,1.0
69,14.0,male,9.0,1.7,64.41,never,2.0,2.0
70,14.0,male,9.0,1.6,55.79,never,2.0,1.0
71,14.0,male,9.0,1.7,52.16,never,1.0,1.0
72,14.0,male,9.0,1.68,60.78,never,2.0,2.0
73,14.0,male,9.0,1.45,35.83,never,2.0,1.0
74,14.0,male,9.0,1.7,49.9,never,1.0,1.0
75,14.0,male,9.0,1.7,76.66,never,1.0,1.0
76,14.0,male,9.0,1.85,113.4,most of the time,2.0,1.0
77,14.0,male,9.0,1.73,70.31,not riding,2.0,1.0
78,14.0,male,9.0,1.73,58.97,not riding,1.0,1.0
79,14.0,male,9.0,1.6,59.88,not riding,2.0,1.0
80,14.0,male,9.0,1.75,60.78,never,2.0,1.0
81,14.0,male,9.0,1.93,97.52,never,1.0,1.0
82,14.0,male,9.0,1.78,57.15,never,1.0,1.0
83,14.0,male,9.0,1.78,54.43,never,2.0,2.0
84,14.0,male,9.0,1.75,82.56,never,1.0,1.0
85,14.0,male,9.0,1.7,57.61,never,2.0,1.0
86,14.0,male,9.0,1.65,54.43,not riding,2.0,1.0
87,14.0,male,9.0,1.73,79.38,never,2.0,2.0
88,14.0,male,9.0,1.73,56.7,not riding,2.0,2.0
89,14.0,male,9.0,1.6,54.43,sometimes,2.0,1.0
90,14.0,male,9.0,1.78,77.11,never,1.0,1.0
91,14.0,male,9.0,1.75,63.5,never,2.0,2.0
92,14.0,male,9.0,1.75,58.97,never,1.0,1.0
93,14.0,male,9.0,1.7,68.04,never,1.0,1.0
94,14.0,male,9.0,1.7,52.16,rarely,2.0,2.0
95,14.0,male,9.0,1.8,49.9,never,2.0,2.0
96,14.0,male,9.0,1.75,57.15,never,1.0,1.0
97,14.0,male,9.0,1.78,63.5,never,2.0,1.0
98,14.0,male,9.0,1.83,78.47,rarely,2.0,1.0
99,14.0,male,9.0,1.75,61.24,never,2.0,1.0
100,14.0,male,9.0,1.75,76.66,sometimes,2.0,2.0
101,14.0,male,9.0,1.68,68.04,never,1.0,1.0
102,14.0,male,9.0,1.63,52.62,never,1.0,1.0
103,14.0,male,9.0,1.7,68.04,never,1.0,1.0
104,14.0,male,9.0,1.75,69.4,not riding,1.0,1.0
105,14.0,male,9.0,1.57,45.36,never,1.0,2.0
106,14.0,male,9.0,1.75,74.84,never,1.0,1.0
107,14.0,male,9.0,1.88,71.22,never,2.0,2.0
108,14.0,male,9.0,1.68,56.25,rarely,2.0,1.0
109,14.0,male,9.0,1.8,69.85,never,1.0,1.0
110,14.0,male,9.0,1.83,90.72,never,2.0,1.0
111,14.0,male,9.0,1.7,51.26,never,2.0,1.0
112,14.0,male,9.0,1.7,82.1,never,2.0,1.0
113,14.0,male,9.0,1.8,84.82,never,2.0,1.0
114,14.0,male,9.0,1.73,52.16,never,2.0,1.0
115,14.0,male,9.0,1.65,68.95,never,2.0,1.0
116,14.0,male,9.0,1.8,71.22,never,1.0,1.0
117,14.0,male,9.0,1.68,63.5,never,2.0,1.0
118,14.0,male,9.0,1.78,74.84,always,2.0,2.0
119,14.0,male,9.0,1.68,73.94,not riding,2.0,2.0
120,14.0,male,9.0,1.57,60.78,always,2.0,2.0
121,14.0,male,9.0,1.78,62.14,not riding,2.0,2.0
122,14.0,male,9.0,1.73,73.48,never,2.0,2.0
123,14.0,male,9.0,1.63,55.34,never,2.0,2.0
124,14.0,male,9.0,1.75,58.97,never,2.0,1.0
125,14.0,male,9.0,1.75,54.43,never,2.0,2.0
126,14.0,male,9.0,1.68,86.18,sometimes,2.0,1.0
127,14.0,male,9.0,1.88,83.01,never,1.0,1.0
128,14.0,male,9.0,1.7,60.78,not riding,1.0,1.0
129,14.0,male,9.0,1.83,68.04,never,2.0,1.0
130,14.0,male,9.0,1.9,80.29,rarely,2.0,1.0
131,14.0,male,9.0,1.8,70.76,never,1.0,1.0
132,14.0,male,9.0,1.7,55.79,never,2.0,2.0
133,14.0,male,9.0,1.83,65.77,always,2.0,1.0
134,14.0,male,9.0,1.68,73.48,never,2.0,1.0
135,14.0,male,9.0,1.75,65.77,never,2.0,1.0
136,14.0,male,9.0,1.65,54.43,never,2.0,1.0
137,14.0,male,9.0,1.73,73.48,never,2.0,1.0
138,14.0,male,9.0,1.68,61.69,rarely,2.0,2.0
139,14.0,male,9.0,1.75,52.16,never,1.0,1.0
140,14.0,male,9.0,1.68,59.88,never,2.0,1.0
141,14.0,male,9.0,1.7,54.89,never,2.0,1.0
142,14.0,male,9.0,1.65,70.31,never,2.0,1.0
143,14.0,male,9.0,1.65,90.27,never,2.0,2.0
144,14.0,male,9.0,1.8,70.31,never,2.0,1.0
145,14.0,male,9.0,1.7,47.63,never,2.0,2.0
146,14.0,male,9.0,1.65,59.88,never,2.0,1.0
147,14.0,male,9.0,1.8,84.82,never,1.0,1.0
148,14.0,male,9.0,1.68,70.31,never,2.0,2.0
149,14.0,male,9.0,1.63,54.43,not riding,2.0,2.0
150,14.0,male,9.0,1.65,66.68,never,2.0,2.0
151,14.0,male,9.0,1.7,58.51,not riding,2.0,2.0
152,14.0,male,9.0,1.73,54.89,rarely,1.0,1.0
153,14.0,male,9.0,1.85,76.2,never,1.0,1.0
154,14.0,male,9.0,1.75,64.86,not riding,2.0,1.0
155,14.0,male,9.0,1.57,51.71,rarely,2.0,2.0
156,14.0,male,9.0,1.7,55.79,never,1.0,1.0
157,14.0,male,9.0,1.78,58.97,never,2.0,1.0
158,14.0,male,9.0,1.68,54.43,never,1.0,1.0
159,14.0,male,9.0,1.68,49.9,not riding,1.0,1.0
160,14.0,male,9.0,1.73,72.58,not riding,1.0,1.0
161,14.0,male,9.0,1.75,74.84,never,1.0,1.0
162,14.0,male,9.0,1.68,50.8,not riding,2.0,1.0
163,14.0,male,9.0,1.75,59.88,never,1.0,1.0
164,14.0,male,9.0,1.63,62.6,never,1.0,1.0
165,14.0,male,9.0,1.57,53.98,never,1.0,1.0
166,14.0,male,9.0,1.73,64.41,not riding,2.0,2.0
167,14.0,male,9.0,1.7,48.99,never,2.0,2.0
168,14.0,male,9.0,1.75,83.92,not riding,1.0,1.0
169,14.0,male,9.0,1.68,72.58,not riding,1.0,1.0
170,14.0,male,9.0,1.68,55.34,rarely,1.0,1.0
171,14.0,male,9.0,1.75,56.7,never,1.0,1.0
172,14.0,male,9.0,1.7,68.04,sometimes,2.0,1.0
173,14.0,male,9.0,1.65,53.07,sometimes,2.0,2.0
174,14.0,male,9.0,1.6,45.81,never,2.0,1.0
175,14.0,male,9.0,1.96,117.94,never,2.0,2.0
176,14.0,male,9.0,1.78,71.67,never,2.0,1.0
177,14.0,male,9.0,1.68,77.11,never,2.0,1.0
178,14.0,male,9.0,1.68,72.58,never,2.0,1.0
179,14.0,male,9.0,1.73,63.5,never,2.0,1.0
180,14.0,male,9.0,1.6,54.43,never,2.0,1.0
181,14.0,male,9.0,1.68,54.89,never,1.0,1.0
182,14.0,male,9.0,1.68,57.61,never,2.0,1.0
183,14.0,male,9.0,1.68,51.71,never,2.0,2.0
184,14.0,male,9.0,1.6,49.9,never,1.0,1.0
185,14.0,male,9.0,1.68,95.71,never,2.0,2.0
186,14.0,male,9.0,1.65,60.78,never,1.0,1.0
187,14.0,male,9.0,1.85,66.68,never,2.0,1.0
188,14.0,male,9.0,1.98,64.86,never,2.0,1.0
189,14.0,male,9.0,1.73,86.18,not riding,2.0,2.0
190,14.0,male,9.0,1.75,55.79,not riding,2.0,2.0
191,14.0,male,9.0,1.63,49.9,never,1.0,2.0
192,14.0,male,9.0,1.8,65.32,not riding,2.0,1.0
193,14.0,male,9.0,1.63,55.79,never,2.0,2.0
194,14.0,male,9.0,1.75,45.36,never,1.0,1.0
195,14.0,male,9.0,1.9,68.95,never,2.0,2.0
196,14.0,male,9.0,1.75,73.03,never,2.0,2.0
197,14.0,male,9.0,1.55,85.28,not riding,2.0,1.0
198,14.0,male,9.0,1.83,66.23,never,2.0,1.0
199,14.0,male,9.0,1.6,95.26,rarely,2.0,2.0
200,14.0,male,9.0,1.6,43.55,never,2.0,1.0
201,14.0,male,9.0,1.73,61.24,never,1.0,2.0
202,14.0,male,9.0,1.65,60.78,never,2.0,1.0
203,14.0,male,9.0,1.55,42.18,sometimes,2.0,2.0
204,14.0,male,9.0,1.57,63.5,not riding,2.0,1.0
205,14.0,male,9.0,1.78,78.47,never,1.0,1.0
206,14.0,male,9.0,1.68,48.08,never,1.0,1.0
207,14.0,male,9.0,1.5,37.65,never,1.0,2.0
208,14.0,male,9.0,1.68,79.83,rarely,2.0,1.0
209,14.0,male,9.0,1.68,53.07,not riding,2.0,1.0
210,14.0,male,9.0,1.68,53.07,never,1.0,1.0
211,14.0,male,9.0,1.85,80.74,never,2.0,1.0
212,14.0,male,9.0,1.7,56.7,never,2.0,2.0
213,14.0,male,9.0,1.7,56.25,never,1.0,2.0
214,14.0,male,9.0,1.78,64.86,always,2.0,1.0
215,14.0,male,9.0,1.73,81.65,never,2.0,2.0
216,14.0,male,9.0,1.63,54.43,never,1.0,1.0
217,14.0,male,9.0,1.83,74.84,never,2.0,2.0
218,14.0,male,9.0,1.78,133.81,never,1.0,1.0
219,14.0,male,9.0,1.8,102.97,never,1.0,1.0
220,14.0,male,9.0,1.68,60.33,most of the time,2.0,1.0
221,14.0,male,9.0,1.8,56.25,not riding,2.0,1.0
222,14.0,male,9.0,1.8,62.14,never,2.0,2.0
223,14.0,male,9.0,1.7,53.52,never,2.0,1.0
224,14.0,male,9.0,1.78,67.13,never,2.0,1.0
225,14.0,male,9.0,1.75,56.25,not riding,2.0,2.0
226,14.0,male,9.0,1.8,72.58,never,1.0,1.0
227,14.0,male,9.0,1.75,64.41,never,2.0,1.0
228,14.0,male,9.0,1.6,49.9,never,1.0,1.0
229,14.0,male,9.0,1.73,50.8,never,1.0,1.0
230,14.0,male,9.0,1.65,65.32,never,1.0,1.0
231,14.0,male,9.0,1.85,68.04,most of the time,2.0,2.0
232,14.0,male,9.0,1.7,53.07,never,2.0,2.0
233,14.0,male,9.0,1.65,56.25,never,1.0,1.0
234,14.0,male,9.0,1.68,54.43,never,2.0,2.0
235,14.0,male,9.0,1.55,77.11,never,2.0,2.0
236,14.0,male,9.0,1.5,44.0,rarely,1.0,1.0
237,14.0,male,9.0,1.4,81.65,sometimes,2.0,1.0
238,14.0,male,9.0,1.52,99.79,never,2.0,2.0
239,14.0,male,9.0,1.78,66.68,never,1.0,1.0
240,14.0,male,9.0,1.57,55.34,never,2.0,2.0
241,14.0,male,9.0,1.78,61.24,not riding,2.0,2.0
242,14.0,male,9.0,1.6,64.41,never,1.0,1.0
243,14.0,male,9.0,1.83,66.23,not riding,1.0,1.0
244,14.0,male,9.0,1.57,47.63,never,2.0,1.0
245,14.0,male,9.0,1.7,53.52,never,1.0,2.0
246,14.0,male,9.0,1.68,54.43,never,1.0,1.0
247,14.0,male,9.0,1.57,45.36,sometimes,1.0,1.0
248,14.0,male,9.0,1.57,63.5,never,1.0,1.0
249,14.0,male,9.0,1.63,54.89,never,2.0,1.0
250,14.0,male,9.0,1.8,67.59,always,1.0,1.0
251,14.0,male,9.0,1.7,60.78,never,1.0,2.0
252,14.0,male,9.0,1.45,31.75,never,2.0,2.0
253,14.0,male,9.0,1.8,70.76,never,1.0,1.0
254,14.0,male,9.0,1.88,61.24,never,1.0,1.0
255,14.0,male,9.0,1.9,158.76,never,2.0,1.0
256,14.0,male,9.0,1.8,81.65,sometimes,2.0,1.0
257,14.0,male,9.0,1.65,62.6,never,2.0,1.0
258,14.0,male,9.0,1.7,66.68,never,2.0,2.0
259,14.0,male,9.0,1.75,70.31,most of the time,1.0,1.0
260,14.0,male,9.0,1.68,73.03,never,2.0,1.0
261,14.0,male,9.0,1.7,49.9,never,2.0,2.0
262,14.0,male,9.0,1.63,52.16,never,2.0,1.0
263,14.0,male,9.0,1.7,54.43,never,1.0,1.0
264,14.0,male,9.0,1.7,62.14,never,1.0,1.0
265,14.0,male,9.0,1.63,58.97,always,2.0,2.0
266,14.0,male,9.0,1.65,54.43,never,1.0,1.0
267,14.0,male,9.0,1.75,63.5,not riding,2.0,1.0
268,14.0,male,9.0,1.6,51.26,not riding,2.0,2.0
269,14.0,male,9.0,1.68,58.97,sometimes,1.0,1.0
270,14.0,male,9.0,1.57,49.44,never,2.0,1.0
271,14.0,male,9.0,1.73,58.51,never,2.0,1.0
272,14.0,male,9.0,1.73,64.41,never,1.0,1.0
273,14.0,male,9.0,1.73,57.15,always,1.0,1.0
274,14.0,male,9.0,1.65,56.7,not riding,1.0,2.0
275,14.0,male,9.0,1.9,113.4,never,1.0,1.0
276,14.0,male,9.0,1.7,73.03,not riding,1.0,1.0
277,14.0,male,9.0,1.52,40.82,never,1.0,1.0
278,14.0,male,9.0,1.65,48.99,never,1.0,1.0
279,14.0,male,9.0,1.78,68.95,never,2.0,1.0
280,14.0,male,9.0,1.8,90.72,never,1.0,1.0
281,14.0,male,9.0,1.75,65.77,never,2.0,1.0
282,14.0,male,9.0,1.73,59.88,never,2.0,1.0
283,14.0,male,9.0,1.73,68.49,rarely,1.0,1.0
284,14.0,male,9.0,1.78,66.23,never,1.0,1.0
285,14.0,male,9.0,1.6,59.42,never,2.0,2.0
286,14.0,male,9.0,1.65,56.7,never,1.0,1.0
287,14.0,male,9.0,1.73,81.19,never,2.0,1.0
288,14.0,male,9.0,1.73,67.13,not riding,2.0,2.0
289,14.0,male,9.0,1.63,109.77,never,2.0,2.0
290,14.0,male,9.0,1.78,56.7,never,2.0,1.0
291,14.0,male,9.0,1.65,78.93,not riding,2.0,1.0
292,14.0,male,9.0,1.57,48.99,never,1.0,1.0
293,14.0,male,9.0,1.83,79.38,never,1.0,1.0
294,14.0,male,9.0,1.75,58.97,not riding,2.0,1.0
295,14.0,male,9.0,1.57,47.17,never,1.0,2.0
296,14.0,male,9.0,1.8,68.04,never,1.0,2.0
297,14.0,male,9.0,1.73,76.2,never,2.0,1.0
298,14.0,male,9.0,1.7,58.51,never,2.0,1.0
299,14.0,male,9.0,1.75,58.97,never,1.0,1.0
300,14.0,male,9.0,1.7,72.58,rarely,2.0,1.0
301,14.0,male,9.0,1.6,42.18,not riding,1.0,2.0
302,14.0,male,9.0,1.83,68.95,always,1.0,1.0
303,14.0,male,9.0,1.78,73.03,not riding,1.0,2.0
304,14.0,male,9.0,1.63,47.63,never,2.0,1.0
305,14.0,male,9.0,1.75,100.25,always,2.0,1.0
306,14.0,male,9.0,1.8,89.81,not riding,2.0,2.0
307,14.0,male,9.0,1.8,58.51,never,2.0,2.0
308,14.0,male,9.0,1.65,56.7,never,2.0,1.0
309,14.0,male,9.0,1.83,70.31,not riding,2.0,2.0
310,14.0,male,9.0,1.83,95.26,never,2.0,1.0
311,14.0,male,9.0,1.75,97.52,never,2.0,1.0
312,14.0,male,9.0,1.65,90.72,never,2.0,2.0
313,14.0,male,9.0,1.75,70.31,never,2.0,1.0
314,14.0,male,9.0,1.7,68.04,never,2.0,2.0
315,14.0,male,9.0,1.78,70.31,never,2.0,1.0
316,14.0,male,9.0,1.73,58.97,never,2.0,2.0
317,14.0,male,9.0,1.5,44.0,never,1.0,1.0
318,14.0,male,9.0,1.63,52.16,never,2.0,1.0
319,14.0,male,9.0,1.65,47.17,not riding,1.0,1.0
320,14.0,male,9.0,1.57,43.09,never,1.0,1.0
321,14.0,male,9.0,1.63,49.9,never,1.0,1.0
322,14.0,male,9.0,1.65,58.97,never,2.0,1.0
323,14.0,male,9.0,1.93,132.9,not riding,2.0,1.0
324,14.0,male,9.0,1.6,48.99,rarely,2.0,2.0
325,14.0,male,9.0,1.75,55.34,never,2.0,1.0
326,14.0,male,9.0,1.68,68.04,never,1.0,1.0
327,14.0,male,9.0,1.78,81.65,never,1.0,2.0
328,14.0,male,9.0,1.57,46.27,never,2.0,1.0
329,14.0,male,9.0,1.78,81.65,never,2.0,2.0
330,14.0,male,9.0,1.73,54.43,never,1.0,1.0
331,14.0,male,9.0,1.75,93.44,never,1.0,1.0
332,14.0,male,9.0,1.83,74.84,never,2.0,1.0
333,14.0,male,9.0,1.73,83.92,never,2.0,1.0
334,14.0,male,9.0,1.68,61.69,never,2.0,1.0
335,14.0,male,9.0,1.8,72.58,never,1.0,1.0
336,14.0,male,9.0,1.78,61.24,never,2.0,1.0
337,14.0,male,9.0,1.75,60.33,sometimes,2.0,1.0
338,14.0,male,9.0,1.52,36.29,not riding,2.0,2.0
339,14.0,male,9.0,1.78,61.24,never,1.0,1.0
340,14.0,male,9.0,1.75,61.24,never,1.0,1.0
341,14.0,male,9.0,1.83,77.11,never,2.0,1.0
342,14.0,male,9.0,1.7,65.77,never,1.0,1.0
343,14.0,male,9.0,1.68,85.28,never,2.0,1.0
344,14.0,male,9.0,1.65,52.16,never,1.0,2.0
345,14.0,male,9.0,1.75,73.94,not riding,2.0,1.0
346,14.0,male,9.0,1.7,67.13,most of the time,2.0,1.0
347,14.0,male,9.0,1.63,61.69,never,1.0,1.0
348,14.0,male,9.0,1.7,63.5,never,1.0,1.0
349,14.0,male,9.0,1.73,59.88,rarely,2.0,2.0
350,14.0,male,9.0,1.68,70.76,never,2.0,2.0
351,14.0,male,9.0,1.8,84.82,not riding,2.0,2.0
352,14.0,male,9.0,1.83,83.92,never,1.0,2.0
353,14.0,male,9.0,1.68,66.68,always,2.0,2.0
354,14.0,male,9.0,1.8,51.71,sometimes,1.0,1.0
355,14.0,male,9.0,1.65,58.97,rarely,2.0,1.0
356,14.0,male,9.0,1.6,48.54,never,2.0,2.0
357,14.0,male,9.0,1.68,61.24,never,1.0,1.0
358,14.0,male,9.0,1.57,36.29,always,1.0,1.0
359,14.0,male,9.0,1.8,58.51,never,1.0,2.0
360,14.0,male,9.0,1.68,58.97,never,2.0,1.0
361,14.0,male,9.0,1.68,55.79,never,1.0,1.0
362,14.0,male,9.0,1.93,55.34,not riding,2.0,2.0
363,14.0,male,9.0,1.65,64.41,never,1.0,1.0
364,14.0,male,9.0,1.7,86.64,never,1.0,1.0
365,14.0,male,9.0,1.78,75.3,never,2.0,2.0
366,14.0,male,9.0,1.7,74.39,not riding,2.0,2.0
367,14.0,male,9.0,1.75,64.41,never,1.0,1.0
368,14.0,male,9.0,1.63,61.24,never,2.0,2.0
369,14.0,male,9.0,1.88,73.48,never,1.0,1.0
370,14.0,male,9.0,1.6,86.18,never,2.0,1.0
371,14.0,male,9.0,1.73,59.88,never,1.0,1.0
372,14.0,male,9.0,1.63,62.14,never,2.0,1.0
373,14.0,male,9.0,1.83,82.1,never,2.0,1.0
374,14.0,male,9.0,1.78,56.7,rarely,2.0,2.0
375,14.0,male,9.0,1.85,81.65,never,2.0,1.0
376,14.0,male,9.0,1.73,75.75,not riding,2.0,1.0
377,14.0,male,9.0,1.78,57.61,never,1.0,1.0
378,14.0,male,9.0,1.68,62.6,never,2.0,2.0
379,14.0,male,9.0,1.63,38.56,not riding,2.0,2.0
380,14.0,male,9.0,1.75,48.08,never,1.0,1.0
381,14.0,male,9.0,1.73,63.5,never,2.0,1.0
382,14.0,male,9.0,1.73,72.58,never,2.0,1.0
383,14.0,male,9.0,1.7,68.04,never,1.0,2.0
384,14.0,male,9.0,1.65,45.36,not riding,2.0,1.0
385,14.0,male,9.0,1.8,76.66,never,2.0,2.0
386,14.0,male,9.0,1.65,53.52,never,2.0,2.0
387,14.0,male,9.0,1.63,67.59,never,1.0,1.0
388,14.0,male,9.0,1.75,58.97,never,1.0,1.0
389,14.0,male,9.0,1.75,58.51,not riding,2.0,1.0
390,14.0,male,9.0,1.57,66.23,not riding,2.0,2.0
391,14.0,male,9.0,1.55,54.43,never,1.0,1.0
392,14.0,male,9.0,1.68,75.75,never,2.0,1.0
393,14.0,male,9.0,1.73,52.16,never,1.0,1.0
394,14.0,male,9.0,1.68,48.99,rarely,2.0,1.0
395,14.0,male,9.0,1.8,66.23,always,1.0,1.0
396,14.0,male,9.0,1.78,61.24,rarely,1.0,2.0
397,14.0,male,9.0,1.63,46.27,never,2.0,1.0
398,14.0,male,9.0,1.93,83.92,never,1.0,1.0
399,14.0,male,9.0,1.8,63.5,never,1.0,1.0
400,14.0,male,9.0,1.75,72.58,never,2.0,1.0
401,14.0,male,9.0,1.73,65.77,not riding,1.0,2.0
402,14.0,male,9.0,1.7,43.09,never,2.0,2.0
403,14.0,male,9.0,1.63,74.84,sometimes,2.0,2.0
404,14.0,male,9.0,1.83,72.58,rarely,2.0,1.0
405,14.0,male,9.0,1.45,58.51,never,2.0,1.0
406,14.0,male,9.0,1.73,72.58,not riding,1.0,1.0
407,14.0,male,9.0,1.65,49.9,not riding,1.0,1.0
408,14.0,male,9.0,1.52,44.91,most of the time,2.0,2.0
409,14.0,male,9.0,1.65,102.06,never,2.0,1.0
410,14.0,male,9.0,1.78,60.33,never,1.0,2.0
411,14.0,male,9.0,1.73,68.95,never,1.0,1.0
412,14.0,male,9.0,1.63,57.61,not riding,2.0,1.0
413,14.0,male,9.0,1.65,70.76,never,2.0,1.0
414,14.0,male,9.0,1.55,68.49,sometimes,2.0,2.0
415,14.0,male,9.0,1.55,60.33,never,1.0,1.0
416,14.0,male,9.0,1.65,66.23,not riding,2.0,2.0
417,14.0,male,9.0,1.57,111.13,never,2.0,1.0
418,14.0,male,9.0,1.85,67.59,never,2.0,1.0
419,14.0,male,9.0,1.6,67.13,never,2.0,1.0
420,14.0,male,9.0,1.8,88.45,rarely,1.0,1.0
421,14.0,male,9.0,1.57,48.99,not riding,2.0,1.0
422,14.0,male,9.0,1.73,72.58,not riding,2.0,1.0
423,14.0,male,9.0,1.78,56.7,never,1.0,2.0
424,14.0,male,9.0,1.6,62.6,rarely,2.0,1.0
425,14.0,male,9.0,1.6,56.7,never,2.0,2.0
426,14.0,male,9.0,1.8,68.04,never,1.0,1.0
427,14.0,male,9.0,1.75,63.05,always,2.0,1.0
428,14.0,male,9.0,1.78,74.84,rarely,1.0,1.0
429,14.0,male,9.0,1.73,81.65,never,1.0,1.0
430,14.0,male,9.0,1.63,52.16,never,2.0,1.0
431,14.0,male,9.0,1.73,63.5,not riding,2.0,1.0
432,14.0,male,9.0,1.73,62.14,never,1.0,1.0
433,14.0,male,9.0,1.57,52.16,sometimes,2.0,1.0
434,14.0,male,9.0,1.68,61.24,not riding,2.0,2.0
435,14.0,male,9.0,1.78,60.78,rarely,2.0,1.0
436,14.0,male,9.0,1.63,49.44,not riding,1.0,1.0
437,14.0,male,9.0,1.6,39.46,never,2.0,2.0
438,14.0,male,9.0,1.75,49.9,not riding,2.0,2.0
439,14.0,male,9.0,1.5,44.0,never,2.0,2.0
440,14.0,male,9.0,1.63,71.22,never,1.0,1.0
441,14.0,male,9.0,1.68,54.43,sometimes,2.0,1.0
442,14.0,male,9.0,1.55,64.86,not riding,1.0,1.0
443,14.0,male,10.0,1.7,68.04,most of the time,2.0,2.0
444,14.0,male,9.0,1.73,50.8,not riding,2.0,1.0
445,14.0,male,9.0,1.78,53.98,never,2.0,1.0
446,14.0,male,9.0,1.68,52.16,not riding,2.0,1.0
447,14.0,male,12.0,1.7,63.5,never,2.0,2.0
448,14.0,male,9.0,1.6,49.9,never,1.0,1.0
449,14.0,male,9.0,1.65,45.36,never,2.0,1.0
450,14.0,male,9.0,1.88,74.84,never,2.0,2.0
451,14.0,male,9.0,1.78,58.97,never,1.0,1.0
452,14.0,male,9.0,1.73,53.52,always,1.0,1.0
453,14.0,male,9.0,1.75,66.68,never,1.0,1.0
454,14.0,male,9.0,1.7,75.75,never,2.0,2.0
